Customer_ID,Age,CLV,Loyalty_Score,Purchase_Frequency,Recency,Frequency,Monetary,Discount_Usage_Rate,Gender,Income_Level,Location,RFM_Segment,RFM_Segment_Name,Is_Churned,Churn_Probability,Risk_Category
CUST_00001,45.960569836134795,37.78,0.106,0.16,526,2,469.68,0.122,Female,Medium,North,1,Loyal Customers,1,0.8858382984288248,High Risk
CUST_00002,38.340828385945784,461.39,0.444,0.14,427,6,5577.68,0.018,Male,Medium,South,0,Champions,1,0.7358948435561491,High Risk
CUST_00003,33.02946239171782,524.87,0.416,0.09,459,4,6465.13,0.131,Male,Medium,East,0,Champions,1,0.8392259148251596,High Risk
CUST_00004,33.69796231386223,382.62,0.45,0.16,433,7,4685.61,0.078,Male,Medium,South,0,Champions,1,0.673880640283054,Medium Risk
CUST_00005,31.559874379511115,467.74,0.405,0.13,281,5,5734.87,0.012,Female,Low,East,2,Potential Loyalists,1,0.7904959345110417,High Risk
CUST_00006,14.324552127085127,238.83,0.3,0.07,439,3,2775.6,0.009,Male,High,West,1,Loyal Customers,1,0.8278302512985365,High Risk
CUST_00007,32.79233572097434,653.39,0.486,0.11,146,5,8107.95,0.097,Female,Medium,North,2,Potential Loyalists,1,0.814936713850637,High Risk
CUST_00008,36.49967500248068,105.59,0.293,0.09,172,4,1228.81,0.046,Female,Low,South,1,Loyal Customers,1,0.7995032452228455,High Risk
CUST_00009,23.46472835413021,824.72,0.633,0.12,24,7,10022.64,0.07,Female,Low,Central,4,Hibernating,0,0.6978297838907178,Medium Risk
CUST_00010,35.76260017591518,17.81,0.032,30.0,635,1,216.72,0.0,Male,High,West,3,At Risk,1,0.966382988336002,High Risk
CUST_00011,38.612220611341115,195.71,0.086,30.0,1779,1,2381.19,0.0,Male,Low,Central,3,At Risk,1,0.9694696127762167,High Risk
CUST_00012,36.386755652928535,300.02,0.31,0.12,277,4,3571.72,0.019,Male,Medium,North,1,Loyal Customers,1,0.8147896309255674,High Risk
CUST_00013,17.491878733521794,374.28,0.359,0.15,70,5,4567.46,0.176,Male,Low,North,2,Potential Loyalists,0,0.7689383605489953,High Risk
CUST_00014,23.598614333364427,309.5,0.397,0.14,526,6,3854.62,0.114,Female,Medium,North,0,Champions,1,0.722351608480391,High Risk
CUST_00015,47.947414163428746,308.09,0.336,0.1,523,4,3668.89,0.06,Female,Medium,North,0,Champions,1,0.8222175166644794,High Risk
CUST_00016,42.893465951045556,892.29,0.741,0.21,31,11,10866.07,0.081,Male,Medium,West,4,Hibernating,0,0.4695461820547573,Medium Risk
CUST_00017,39.13587854103599,493.39,0.31,0.13,1121,3,6193.52,0.101,Male,Medium,West,3,At Risk,1,0.8857720840585335,High Risk
CUST_00018,52.04239477470429,682.74,0.509,0.1,109,5,8401.83,0.011,Male,Low,North,2,Potential Loyalists,1,0.8244899851845279,High Risk
CUST_00019,35.216339319817585,477.48,0.46,0.13,99,6,5976.0,0.194,Male,Low,West,2,Potential Loyalists,1,0.7572074233805554,High Risk
CUST_00020,39.269630950303046,368.0,0.315,0.14,830,4,4596.02,0.164,Female,Medium,North,0,Champions,1,0.8400732514005851,High Risk
CUST_00021,57.73472853689819,710.66,0.608,0.15,63,8,8389.41,0.111,Male,Low,South,4,Hibernating,0,0.629900215620071,Medium Risk
CUST_00022,33.78075738071623,632.28,0.573,0.16,194,8,7536.98,0.098,Female,Medium,South,4,Hibernating,1,0.6088301493851934,Medium Risk
CUST_00023,43.08540244067535,550.33,0.453,0.16,386,6,6642.52,0.107,Male,High,East,0,Champions,1,0.7482173182216993,High Risk
CUST_00024,43.77415475035806,989.72,0.622,0.17,73,7,11758.79,0.069,Male,High,South,4,Hibernating,0,0.7064315394047394,High Risk
CUST_00025,55.28480344167467,41.66,0.039,30.0,1671,1,506.85,0.25,Female,Low,East,3,At Risk,1,0.9697615994534905,High Risk
CUST_00026,36.49656795009256,227.19,0.346,0.12,426,5,2649.69,0.087,Male,Medium,South,1,Loyal Customers,1,0.7562666030085459,High Risk
CUST_00027,38.06457146000789,578.53,0.583,0.24,437,10,7153.21,0.121,Male,Medium,South,4,Hibernating,1,0.516039899288368,Medium Risk
CUST_00028,44.84861028177446,493.27,0.614,0.17,45,10,6097.17,0.102,Female,Low,East,4,Hibernating,0,0.5044718048814283,Medium Risk
CUST_00029,34.69880772128785,256.92,0.423,0.15,50,7,3064.52,0.043,Male,Medium,West,2,Potential Loyalists,0,0.6475380466557649,Medium Risk
CUST_00030,38.99001897782587,542.61,0.557,0.15,67,8,6762.3,0.033,Male,High,South,4,Hibernating,0,0.6495190826057657,Medium Risk
CUST_00031,37.42810620092568,107.33,0.23,0.05,20,2,1197.14,0.205,Male,High,East,1,Loyal Customers,0,0.871671220820744,High Risk
CUST_00032,31.72966947442906,786.0,0.607,0.13,132,7,9600.96,0.13,Male,High,West,4,Hibernating,1,0.7103995842864924,High Risk
CUST_00033,28.113564098431738,390.76,0.445,0.12,109,6,4891.28,0.038,Male,Medium,West,2,Potential Loyalists,1,0.7381647959962008,High Risk
CUST_00034,33.204427244766734,261.83,0.284,0.08,709,3,3349.32,0.313,Female,High,South,3,At Risk,1,0.8663865916332257,High Risk
CUST_00035,28.96690918919436,536.27,0.507,0.15,405,7,6721.42,0.14,Female,Low,South,0,Champions,1,0.7056084044416211,High Risk
CUST_00036,58.59921286021047,103.8,0.254,0.07,379,3,1275.51,0.228,Male,Medium,West,1,Loyal Customers,1,0.860413868227094,High Risk
CUST_00037,52.52632733102389,559.47,0.561,0.2,36,9,6692.84,0.036,Female,Medium,South,4,Hibernating,0,0.5641089289038633,Medium Risk
CUST_00038,46.31737793601635,806.81,0.654,0.18,70,9,9908.68,0.09,Female,Medium,Central,4,Hibernating,0,0.6141762355922208,Medium Risk
CUST_00039,25.156591469463017,266.33,0.253,0.11,657,3,3217.46,0.099,Female,High,Central,3,At Risk,1,0.8494916239379934,High Risk
CUST_00040,40.245155261865705,216.35,0.309,0.06,171,3,2766.97,0.074,Female,High,Central,1,Loyal Customers,1,0.8637596686405918,High Risk
CUST_00041,43.516869679584175,480.54,0.419,0.12,499,5,5809.34,0.261,Male,Low,East,0,Champions,1,0.7922621669377635,High Risk
CUST_00042,31.427782983683585,223.12,0.395,0.12,163,6,2734.68,0.108,Male,High,North,2,Potential Loyalists,1,0.710877967131315,High Risk
CUST_00043,24.03911121382258,282.01,0.466,0.12,83,7,3513.42,0.041,Male,Medium,West,2,Potential Loyalists,0,0.6545898995600898,Medium Risk
CUST_00044,39.696548493146466,157.54,0.23,0.1,233,3,1877.07,0.167,Female,Low,South,1,Loyal Customers,1,0.8502019530391826,High Risk
CUST_00045,46.47531041900399,512.81,0.434,0.17,398,6,6174.04,0.09,Female,Medium,Central,0,Champions,1,0.7473363641110498,High Risk
CUST_00046,22.020452351536832,365.2,0.246,0.18,696,3,4339.14,0.049,Female,Medium,East,0,Champions,1,0.8495053887623247,High Risk
CUST_00047,35.52256972419565,458.28,0.467,0.12,3,6,5728.53,0.008,Male,Medium,West,2,Potential Loyalists,0,0.7530737475225169,High Risk
CUST_00048,46.043164769737814,605.31,0.589,0.33,591,11,7320.77,0.086,Female,Medium,South,4,Hibernating,1,0.4393562939846901,Medium Risk
CUST_00049,38.51041133342009,620.29,0.55,0.18,106,8,7355.57,0.087,Female,High,Central,4,Hibernating,1,0.6100736864976561,Medium Risk
CUST_00050,48.88408981537286,211.79,0.261,0.15,676,4,2529.37,0.038,Male,Low,South,3,At Risk,1,0.8223262610989152,High Risk
CUST_00051,42.56912492956245,376.62,0.37,0.09,184,4,4688.94,0.209,Female,Medium,East,2,Potential Loyalists,1,0.8384697946862784,High Risk
CUST_00052,25.051134655456146,511.76,0.599,0.19,117,10,6379.83,0.14,Female,High,North,4,Hibernating,1,0.4933084699303296,Medium Risk
CUST_00053,27.69400156335813,318.69,0.394,0.07,100,4,3961.26,0.213,Female,Low,West,1,Loyal Customers,1,0.8192223469696568,High Risk
CUST_00054,25.80352466397937,149.1,0.264,0.07,211,3,1917.98,0.121,Male,High,Central,1,Loyal Customers,1,0.8499748873318449,High Risk
